round,avg_iou,avg_loss
1,0.4444318154353633,1.5167293027574262
2,0.5595989789810438,1.131998400790108
3,0.5818938494708628,1.0101867608389774
4,0.5988088626531506,0.9974881747556129
5,0.591670997440815,0.9832975824768356
6,0.6066418633510905,0.9407458761242393
7,0.587723393167973,0.9427588376749723
8,0.6273851524396952,0.8753468494800377
9,0.6170266979269466,0.905400665525586
10,0.5940307075082548,0.9520848944181501
11,0.5946743204872259,0.9487708067950613
12,0.5709600595188009,1.0061255444257107
13,0.5875163724084081,0.9499228646239872
14,0.5867397805925839,0.9914590884840687
15,0.5788105312480996,0.9820335825945022
16,0.6014865275835751,0.9169595128283647
17,0.6092219961252154,0.9025793514455582
18,0.6120235781503881,0.90320059975649
19,0.5879860343017522,0.9525567918945095
20,0.5684113404105225,1.0041399137990774
21,0.5604465569943552,1.0319753395406763
22,0.5921444184462885,0.9629332956961951
23,0.5744613055438422,0.9948417081402486
24,0.5950435339440006,0.9622794488829841
25,0.5769934829528003,0.9812626017527456
26,0.5633982101614607,1.0117423183278063
27,0.5463652474429092,1.0298474826042556
28,0.5910027562850764,0.9539947065208417
29,0.5946596529122692,0.9394987232611468
30,0.6080556419131073,0.9105818498162929
31,0.5912280698197494,0.9437208625879537
32,0.6030883059058241,0.9253510038529892
33,0.5937651313183638,0.9529605577224224
34,0.5661221832883679,1.0156890258653146
35,0.5654456078305353,1.0122137103681044
36,0.6320019545002604,0.88567935939073
37,0.6149238956972709,0.9147146892094555
38,0.6206137129280389,0.8834792491659132
39,0.5793242495653005,0.9597446066183603
40,0.5789351504563737,0.9762464441766082
41,0.575063492173955,0.974524188494739
42,0.5937898511837421,0.9444071943573035
